Date,Aantal
2020-10-25,488
2020-10-26,506
2020-10-27,529
2020-10-28,545
2020-10-29,553
2020-10-30,567
2020-10-31,584
2020-11-01,583
2020-11-02,587
2020-11-03,609
2020-11-04,612
2020-11-05,607
2020-11-06,603
2020-11-07,602
2020-11-08,598
2020-11-09,600
2020-11-10,598
2020-11-11,606
2020-11-12,595
2020-11-13,609
2020-11-14,595
2020-11-15,586
2020-11-16,573
2020-11-17,576
2020-11-18,559
2020-11-19,555
2020-11-20,547
2020-11-21,550
2020-11-22,540
2020-11-23,536
2020-11-24,526
2020-11-25,529
2020-11-26,524
2020-11-27,518
2020-11-28,511
2020-11-29,506
2020-11-30,481
2020-12-01,478
2020-12-02,475
2020-12-03,458
2020-12-04,473
2020-12-05,472
2020-12-06,469
2020-12-07,470
2020-12-08,464
2020-12-09,473
2020-12-10,469
2020-12-11,472
2020-12-12,481
2020-12-13,497
2020-12-14,503
2020-12-15,524
2020-12-16,526
2020-12-17,536
2020-12-18,549
2020-12-19,560
2020-12-20,580
2020-12-21,586
2020-12-22,586
2020-12-23,603
2020-12-24,590
2020-12-25,593
2020-12-26,608
2020-12-27,624
2020-12-28,651
2020-12-29,674
2020-12-30,702
2020-12-31,713
2021-01-01,692
2021-01-02,689
2021-01-03,695
2021-01-04,706
2021-01-05,723
2021-01-06,696
2021-01-07,704
2021-01-08,700
2021-01-09,693
2021-01-10,704
2021-01-11,695
2021-01-12,688
2021-01-13,693
2021-01-14,688
2021-01-15,685
2021-01-16,666
2021-01-17,671
2021-01-18,685
2021-01-19,678
2021-01-20,675
2021-01-21,673
2021-01-22,670
2021-01-23,669
2021-01-24,676
2021-01-25,660
2021-01-26,670
2021-01-27,649
2021-01-28,644
2021-01-29,659
2021-01-30,640
2021-01-31,646
2021-02-01,639
2021-02-02,629
2021-02-03,613
2021-02-04,602
2021-02-05,573
2021-02-06,547
2021-02-07,535
2021-02-08,542
2021-02-09,550
2021-02-10,533
2021-02-11,537
2021-02-12,534
2021-02-13,538
2021-02-14,530
2021-02-15,536
2021-02-16,526
2021-02-17,520
2021-02-18,523
2021-02-19,510
2021-02-20,522
2021-02-21,534
2021-02-22,561
2021-02-23,538
2021-02-24,533
2021-02-25,526
2021-02-26,525
2021-02-27,518
2021-02-28,526
2021-03-01,536
2021-03-02,540
2021-03-03,549
2021-03-04,539
2021-03-05,541
2021-03-06,542
2021-03-07,545
2021-03-08,558
2021-03-09,556
2021-03-10,560
2021-03-11,572
2021-03-12,576
2021-03-13,554
2021-03-14,554
2021-03-15,564
2021-03-16,586
2021-03-17,568
2021-03-18,564
2021-03-19,579
2021-03-20,602
2021-03-21,611
2021-03-22,638
2021-03-23,623
2021-03-23,623
2021-03-24,625
2021-03-24,625
2021-03-24,625
2021-03-24,625
