Datum,Bron,LeeftijdGroep,Type,Aantal
2020-03-26,RIVM_report_20200326,50-54,Totaal,600
2020-03-26,RIVM_report_20200326,55-59,Totaal,683
2020-03-26,RIVM_report_20200326,60-64,Totaal,565
2020-03-26,RIVM_report_20200326,65-69,Totaal,567
2020-03-26,RIVM_report_20200326,70-74,Totaal,691
2020-03-26,RIVM_report_20200326,75-79,Totaal,713
2020-03-26,RIVM_report_20200326,80-84,Totaal,680
2020-03-26,RIVM_report_20200326,85-89,Totaal,503
2020-03-26,RIVM_report_20200326,90-94,Totaal,214
2020-03-26,RIVM_report_20200326,95+,Totaal,64
2020-03-26,RIVM_report_20200326,Niet vermeld,Totaal,28
2020-03-26,RIVM_report_20200326,0-4,Ziekenhuisopname,12
2020-03-26,RIVM_report_20200326,5-9,Ziekenhuisopname,1
2020-03-26,RIVM_report_20200326,10-14,Ziekenhuisopname,4
2020-03-26,RIVM_report_20200326,15-19,Ziekenhuisopname,5
2020-03-26,RIVM_report_20200326,20-24,Ziekenhuisopname,5
2020-03-26,RIVM_report_20200326,25-29,Ziekenhuisopname,23
2020-03-26,RIVM_report_20200326,30-34,Ziekenhuisopname,30
2020-03-26,RIVM_report_20200326,35-39,Ziekenhuisopname,21
2020-03-26,RIVM_report_20200326,40-44,Ziekenhuisopname,34
2020-03-26,RIVM_report_20200326,45-49,Ziekenhuisopname,103
2020-03-26,RIVM_report_20200326,50-54,Ziekenhuisopname,138
2020-03-26,RIVM_report_20200326,55-59,Ziekenhuisopname,159
2020-03-26,RIVM_report_20200326,60-64,Ziekenhuisopname,183
2020-03-26,RIVM_report_20200326,65-69,Ziekenhuisopname,266
2020-03-26,RIVM_report_20200326,70-74,Ziekenhuisopname,315
2020-03-26,RIVM_report_20200326,75-79,Ziekenhuisopname,331
2020-03-26,RIVM_report_20200326,80-84,Ziekenhuisopname,268
2020-03-26,RIVM_report_20200326,85-89,Ziekenhuisopname,189
2020-03-26,RIVM_report_20200326,90-94,Ziekenhuisopname,51
2020-03-26,RIVM_report_20200326,95+,Ziekenhuisopname,8
2020-03-26,RIVM_report_20200326,Niet vermeld,Ziekenhuisopname,5
2020-03-26,RIVM_report_20200326,0-4,Overleden,0
2020-03-26,RIVM_report_20200326,5-9,Overleden,0
2020-03-26,RIVM_report_20200326,10-14,Overleden,0
2020-03-26,RIVM_report_20200326,15-19,Overleden,0
2020-03-26,RIVM_report_20200326,20-24,Overleden,0
2020-03-26,RIVM_report_20200326,25-29,Overleden,0
2020-03-26,RIVM_report_20200326,30-34,Overleden,0
2020-03-26,RIVM_report_20200326,35-39,Overleden,0
2020-03-26,RIVM_report_20200326,40-44,Overleden,0
2020-03-26,RIVM_report_20200326,45-49,Overleden,0
2020-03-26,RIVM_report_20200326,50-54,Overleden,2
2020-03-26,RIVM_report_20200326,55-59,Overleden,2
2020-03-26,RIVM_report_20200326,60-64,Overleden,8
2020-03-26,RIVM_report_20200326,65-69,Overleden,29
2020-03-26,RIVM_report_20200326,70-74,Overleden,41
2020-03-26,RIVM_report_20200326,75-79,Overleden,82
2020-03-26,RIVM_report_20200326,80-84,Overleden,126
2020-03-26,RIVM_report_20200326,85-89,Overleden,107
2020-03-26,RIVM_report_20200326,90-94,Overleden,26
2020-03-26,RIVM_report_20200326,95+,Overleden,10
2020-03-26,RIVM_report_20200326,Niet vermeld,Overleden,1
2020-03-27,RIVM_report_20200327,0-4,Totaal,28
2020-03-27,RIVM_report_20200327,5-9,Totaal,7
2020-03-27,RIVM_report_20200327,10-14,Totaal,31
2020-03-27,RIVM_report_20200327,15-19,Totaal,50
2020-03-27,RIVM_report_20200327,20-24,Totaal,160
2020-03-27,RIVM_report_20200327,25-29,Totaal,390
2020-03-27,RIVM_report_20200327,30-34,Totaal,397
2020-03-27,RIVM_report_20200327,35-39,Totaal,359
2020-03-27,RIVM_report_20200327,40-44,Totaal,359
2020-03-27,RIVM_report_20200327,45-49,Totaal,578
2020-03-27,RIVM_report_20200327,50-54,Totaal,695
2020-03-27,RIVM_report_20200327,55-59,Totaal,770
2020-03-27,RIVM_report_20200327,60-64,Totaal,672
2020-03-27,RIVM_report_20200327,65-69,Totaal,648
2020-03-27,RIVM_report_20200327,70-74,Totaal,824
2020-03-27,RIVM_report_20200327,75-79,Totaal,859
2020-03-27,RIVM_report_20200327,80-84,Totaal,789
2020-03-27,RIVM_report_20200327,85-89,Totaal,609
2020-03-27,RIVM_report_20200327,90-94,Totaal,271
2020-03-27,RIVM_report_20200327,95+,Totaal,76
2020-03-27,RIVM_report_20200327,Niet vermeld,Totaal,31
2020-03-27,RIVM_report_20200327,0-4,Ziekenhuisopname,13
2020-03-27,RIVM_report_20200327,5-9,Ziekenhuisopname,1
2020-03-27,RIVM_report_20200327,10-14,Ziekenhuisopname,4
2020-03-27,RIVM_report_20200327,15-19,Ziekenhuisopname,7
2020-03-27,RIVM_report_20200327,20-24,Ziekenhuisopname,7
2020-03-27,RIVM_report_20200327,25-29,Ziekenhuisopname,25
2020-03-27,RIVM_report_20200327,30-34,Ziekenhuisopname,31
2020-03-27,RIVM_report_20200327,35-39,Ziekenhuisopname,29
2020-03-27,RIVM_report_20200327,40-44,Ziekenhuisopname,45
2020-03-27,RIVM_report_20200327,45-49,Ziekenhuisopname,119
2020-03-27,RIVM_report_20200327,50-54,Ziekenhuisopname,159
2020-03-27,RIVM_report_20200327,55-59,Ziekenhuisopname,181
2020-03-27,RIVM_report_20200327,60-64,Ziekenhuisopname,227
2020-03-27,RIVM_report_20200327,65-69,Ziekenhuisopname,302
2020-03-27,RIVM_report_20200327,70-74,Ziekenhuisopname,376
2020-03-27,RIVM_report_20200327,75-79,Ziekenhuisopname,389
2020-03-27,RIVM_report_20200327,80-84,Ziekenhuisopname,308
2020-03-27,RIVM_report_20200327,85-89,Ziekenhuisopname,208
2020-03-27,RIVM_report_20200327,90-94,Ziekenhuisopname,55
2020-03-27,RIVM_report_20200327,95+,Ziekenhuisopname,9
2020-03-27,RIVM_report_20200327,Niet vermeld,Ziekenhuisopname,5
2020-03-27,RIVM_report_20200327,0-4,Overleden,0
2020-03-27,RIVM_report_20200327,5-9,Overleden,0
2020-03-27,RIVM_report_20200327,10-14,Overleden,0
2020-03-27,RIVM_report_20200327,15-19,Overleden,0
2020-03-27,RIVM_report_20200327,20-24,Overleden,0
2020-03-27,RIVM_report_20200327,25-29,Overleden,0
2020-03-27,RIVM_report_20200327,30-34,Overleden,0
2020-03-27,RIVM_report_20200327,35-39,Overleden,0
2020-03-27,RIVM_report_20200327,40-44,Overleden,0
2020-03-27,RIVM_report_20200327,45-49,Overleden,0
2020-03-27,RIVM_report_20200327,50-54,Overleden,3
2020-03-27,RIVM_report_20200327,55-59,Overleden,2
2020-03-27,RIVM_report_20200327,60-64,Overleden,12
2020-03-27,RIVM_report_20200327,65-69,Overleden,37
2020-03-27,RIVM_report_20200327,70-74,Overleden,52
2020-03-27,RIVM_report_20200327,75-79,Overleden,105
2020-03-27,RIVM_report_20200327,80-84,Overleden,148
2020-03-27,RIVM_report_20200327,85-89,Overleden,137
2020-03-27,RIVM_report_20200327,90-94,Overleden,38
2020-03-27,RIVM_report_20200327,95+,Overleden,11
2020-03-27,RIVM_report_20200327,Niet vermeld,Overleden,1
2020-03-28,RIVM_report_20200328,0-4,Totaal,31
2020-03-28,RIVM_report_20200328,5-9,Totaal,8
2020-03-28,RIVM_report_20200328,10-14,Totaal,31
2020-03-28,RIVM_report_20200328,15-19,Totaal,52
2020-03-28,RIVM_report_20200328,20-24,Totaal,187
2020-03-28,RIVM_report_20200328,25-29,Totaal,431
2020-03-28,RIVM_report_20200328,30-34,Totaal,435
2020-03-28,RIVM_report_20200328,35-39,Totaal,396
2020-03-28,RIVM_report_20200328,40-44,Totaal,404
2020-03-28,RIVM_report_20200328,45-49,Totaal,643
2020-03-28,RIVM_report_20200328,50-54,Totaal,779
2020-03-28,RIVM_report_20200328,55-59,Totaal,883
2020-03-28,RIVM_report_20200328,60-64,Totaal,766
2020-03-28,RIVM_report_20200328,65-69,Totaal,727
2020-03-28,RIVM_report_20200328,70-74,Totaal,945
2020-03-28,RIVM_report_20200328,75-79,Totaal,1009
2020-03-28,RIVM_report_20200328,80-84,Totaal,892
2020-03-28,RIVM_report_20200328,85-89,Totaal,714
2020-03-28,RIVM_report_20200328,90-94,Totaal,312
2020-03-28,RIVM_report_20200328,95+,Totaal,88
2020-03-28,RIVM_report_20200328,Niet vermeld,Totaal,29
2020-03-28,RIVM_report_20200328,0-4,Ziekenhuisopname,18
2020-03-28,RIVM_report_20200328,5-9,Ziekenhuisopname,1
2020-03-28,RIVM_report_20200328,10-14,Ziekenhuisopname,4
2020-03-28,RIVM_report_20200328,15-19,Ziekenhuisopname,7
2020-03-28,RIVM_report_20200328,20-24,Ziekenhuisopname,9
2020-03-28,RIVM_report_20200328,25-29,Ziekenhuisopname,29
2020-03-28,RIVM_report_20200328,30-34,Ziekenhuisopname,33
2020-03-28,RIVM_report_20200328,35-39,Ziekenhuisopname,41
2020-03-28,RIVM_report_20200328,40-44,Ziekenhuisopname,54
2020-03-28,RIVM_report_20200328,45-49,Ziekenhuisopname,142
2020-03-28,RIVM_report_20200328,50-54,Ziekenhuisopname,196
2020-03-28,RIVM_report_20200328,55-59,Ziekenhuisopname,224
2020-03-28,RIVM_report_20200328,60-64,Ziekenhuisopname,274
2020-03-28,RIVM_report_20200328,65-69,Ziekenhuisopname,343
2020-03-28,RIVM_report_20200328,70-74,Ziekenhuisopname,451
2020-03-28,RIVM_report_20200328,75-79,Ziekenhuisopname,453
2020-03-28,RIVM_report_20200328,80-84,Ziekenhuisopname,357
2020-03-28,RIVM_report_20200328,85-89,Ziekenhuisopname,242
2020-03-28,RIVM_report_20200328,90-94,Ziekenhuisopname,64
2020-03-28,RIVM_report_20200328,95+,Ziekenhuisopname,10
2020-03-28,RIVM_report_20200328,Niet vermeld,Ziekenhuisopname,2
2020-03-28,RIVM_report_20200328,0-4,Overleden,0
2020-03-28,RIVM_report_20200328,5-9,Overleden,0
2020-03-28,RIVM_report_20200328,10-14,Overleden,0
2020-03-28,RIVM_report_20200328,15-19,Overleden,0
2020-03-28,RIVM_report_20200328,20-24,Overleden,0
2020-03-28,RIVM_report_20200328,25-29,Overleden,0
2020-03-28,RIVM_report_20200328,30-34,Overleden,0
2020-03-28,RIVM_report_20200328,35-39,Overleden,0
2020-03-28,RIVM_report_20200328,40-44,Overleden,0
2020-03-28,RIVM_report_20200328,45-49,Overleden,0
2020-03-28,RIVM_report_20200328,50-54,Overleden,4
2020-03-28,RIVM_report_20200328,55-59,Overleden,3
2020-03-28,RIVM_report_20200328,60-64,Overleden,15
2020-03-28,RIVM_report_20200328,65-69,Overleden,41
2020-03-28,RIVM_report_20200328,70-74,Overleden,69
2020-03-28,RIVM_report_20200328,75-79,Overleden,121
2020-03-28,RIVM_report_20200328,80-84,Overleden,166
2020-03-28,RIVM_report_20200328,85-89,Overleden,161
2020-03-28,RIVM_report_20200328,90-94,Overleden,44
2020-03-28,RIVM_report_20200328,95+,Overleden,15
2020-03-28,RIVM_report_20200328,Niet vermeld,Overleden,0
2020-03-29,RIVM_report_20200329,0-4,Totaal,36
2020-03-29,RIVM_report_20200329,5-9,Totaal,8
2020-03-29,RIVM_report_20200329,10-14,Totaal,33
2020-03-29,RIVM_report_20200329,15-19,Totaal,57
2020-03-29,RIVM_report_20200329,20-24,Totaal,213
2020-03-29,RIVM_report_20200329,25-29,Totaal,464
2020-03-29,RIVM_report_20200329,30-34,Totaal,486
2020-03-29,RIVM_report_20200329,35-39,Totaal,430
2020-03-29,RIVM_report_20200329,40-44,Totaal,434
2020-03-29,RIVM_report_20200329,45-49,Totaal,694
2020-03-29,RIVM_report_20200329,50-54,Totaal,849
2020-03-29,RIVM_report_20200329,55-59,Totaal,969
2020-03-29,RIVM_report_20200329,60-64,Totaal,853
2020-03-29,RIVM_report_20200329,65-69,Totaal,817
2020-03-29,RIVM_report_20200329,70-74,Totaal,1078
2020-03-29,RIVM_report_20200329,75-79,Totaal,1132
2020-03-29,RIVM_report_20200329,80-84,Totaal,1010
2020-03-29,RIVM_report_20200329,85-89,Totaal,809
2020-03-29,RIVM_report_20200329,90-94,Totaal,352
2020-03-29,RIVM_report_20200329,95+,Totaal,113
2020-03-29,RIVM_report_20200329,Niet vermeld,Totaal,29
2020-03-29,RIVM_report_20200329,0-4,Ziekenhuisopname,22
2020-03-29,RIVM_report_20200329,5-9,Ziekenhuisopname,1
2020-03-29,RIVM_report_20200329,10-14,Ziekenhuisopname,4
2020-03-29,RIVM_report_20200329,15-19,Ziekenhuisopname,8
2020-03-29,RIVM_report_20200329,20-24,Ziekenhuisopname,9
2020-03-29,RIVM_report_20200329,25-29,Ziekenhuisopname,31
2020-03-29,RIVM_report_20200329,30-34,Ziekenhuisopname,36
2020-03-29,RIVM_report_20200329,35-39,Ziekenhuisopname,47
2020-03-29,RIVM_report_20200329,40-44,Ziekenhuisopname,68
2020-03-29,RIVM_report_20200329,45-49,Ziekenhuisopname,169
2020-03-29,RIVM_report_20200329,50-54,Ziekenhuisopname,229
2020-03-29,RIVM_report_20200329,55-59,Ziekenhuisopname,277
2020-03-29,RIVM_report_20200329,60-64,Ziekenhuisopname,323
2020-03-29,RIVM_report_20200329,65-69,Ziekenhuisopname,408
2020-03-29,RIVM_report_20200329,70-74,Ziekenhuisopname,546
2020-03-29,RIVM_report_20200329,75-79,Ziekenhuisopname,539
2020-03-29,RIVM_report_20200329,80-84,Ziekenhuisopname,411
2020-03-29,RIVM_report_20200329,85-89,Ziekenhuisopname,272
2020-03-29,RIVM_report_20200329,90-94,Ziekenhuisopname,70
2020-03-29,RIVM_report_20200329,95+,Ziekenhuisopname,11
2020-03-29,RIVM_report_20200329,Niet vermeld,Ziekenhuisopname,2
2020-03-29,RIVM_report_20200329,0-4,Overleden,0
2020-03-29,RIVM_report_20200329,5-9,Overleden,0
2020-03-29,RIVM_report_20200329,10-14,Overleden,0
2020-03-29,RIVM_report_20200329,15-19,Overleden,0
2020-03-29,RIVM_report_20200329,20-24,Overleden,0
2020-03-29,RIVM_report_20200329,25-29,Overleden,0
2020-03-29,RIVM_report_20200329,30-34,Overleden,0
2020-03-29,RIVM_report_20200329,35-39,Overleden,0
2020-03-29,RIVM_report_20200329,40-44,Overleden,0
2020-03-29,RIVM_report_20200329,45-49,Overleden,0
2020-03-29,RIVM_report_20200329,50-54,Overleden,5
2020-03-29,RIVM_report_20200329,55-59,Overleden,5
2020-03-29,RIVM_report_20200329,60-64,Overleden,19
2020-03-29,RIVM_report_20200329,65-69,Overleden,47
2020-03-29,RIVM_report_20200329,70-74,Overleden,85
2020-03-29,RIVM_report_20200329,75-79,Overleden,153
2020-03-29,RIVM_report_20200329,80-84,Overleden,199
2020-03-29,RIVM_report_20200329,85-89,Overleden,188
2020-03-29,RIVM_report_20200329,90-94,Overleden,50
2020-03-29,RIVM_report_20200329,95+,Overleden,20
2020-03-29,RIVM_report_20200329,Niet vermeld,Overleden,0
2020-03-30,RIVM_report_20200330,0-4,Totaal,38
2020-03-30,RIVM_report_20200330,5-9,Totaal,8
2020-03-30,RIVM_report_20200330,10-14,Totaal,33
2020-03-30,RIVM_report_20200330,15-19,Totaal,60
2020-03-30,RIVM_report_20200330,20-24,Totaal,229
2020-03-30,RIVM_report_20200330,25-29,Totaal,488
2020-03-30,RIVM_report_20200330,30-34,Totaal,515
