DatumTijd,Persbericht
2020-03-03 13:00:00,"03-03-2020 | 13:00

Zes nieuwe patiënten

Op 2 maart zijn er 6 nieuwe patiënten bij het RIVM gemeld. Zij zijn allemaal in thuisisolatie. Hiermee komt het totaal aantal positieve testen op 24. 

Bijna alle personen bij wie het coronavirus is vastgesteld zijn reizigers afkomstig uit Noord-Italië of zijn gezinscontacten van een eerdere patiënt. Van enkele patiënten is de bron van de besmetting nog onbekend. Dit is nog in onderzoek. De GGD’en hebben contactonderzoek opgestart.

"
2020-03-04 13:20:00,"04-03-2020 | 13:20

Vijftien nieuwe patiënten, in totaal 38 positieve testen

Op 3 maart zijn er 15 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positieve testen op 38. Van de nieuwe patienten zijn vier mensen in het ziekenhuis opgenomen. De andere 11 zijn in thuisisolatie. Een van deze mensen was op doorreis, woont in het buitenland maar is op een opvanglocatie ondergebracht. 
De meeste personen bij wie het nieuwe coronavirus is vastgesteld, zijn mensen die in Noord-Italië zijn geweest of zijn gezinscontacten van een eerdere patiënt. Van enkele patiënten is de bron van de besmetting nog onbekend. Dit is nog in onderzoek. De GGD’en hebben contactonderzoek opgestart.

Woonplaats

Sinds 3 maart publiceren we ook een kaart waarin de positieve uitslagen vermeld worden per gemeente. Deze kaart wordt elke dag aangepast aan de nieuwe cijfers. De kaart geeft het totaal aantal positief geteste patiënten weer. Het is geen kaart met het actuele aantal zieke mensen in Nederland. Het RIVM geeft op dit moment geen gegevens over mensen die weer genezen zijn. 

Maatregelen in ziekenhuizen

Een aantal van de patiënten ligt een ziekenhuis. De ziekenhuizen brengen met de betreffende GGD de contacten binnen en buiten het ziekenhuis in kaart. Als maatregelen genomen moeten worden binnen het ziekenhuis, maakt het ziekenhuis dit zelf bekend. 

Alleen noodzakelijke reizen naar Noord-Italië

Veel van de nieuwe patienten zijn de afgelopen tijd in Noord-Italië geweest. In verschillende Noord-Italiaanse provincies is wijdverspreide circulatie van het coronavirus. Mensen die op reis zijn in Noord-Italië hebben dus een grotere kans om besmet te raken met het coronavirus. Reizigers kunnen het virus dan ongemerkt meenemen naar Nederland. Daarom heeft het ministerie van Buitenlandse zaken het reisadvies voor Noord-Italië aangepast tot alleen noodzakelijke reizen. 

"
2020-03-05 15:30:00,"05-03-2020 | 15:30

44 nieuwe patiënten, in totaal 82 positieve testen

Sinds de laatste update zijn 44 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positieve geteste patiënten op 82. Hiervan zijn 69 patiënten in het buitenland besmet geraakt of zijn contacten van bevestigde patiënten. Van de nieuwe patiënten zijn twee personen opgenomen in het ziekenhuis. De overige nieuwe patiënten zitten in thuisisolatie.

Eén nieuwe patiënt werd gevonden via een peilstation van het Nivel. Nivel doet samen met het RIVM onderzoek naar griepachtige verschijnselen. Samen testen zij bij 40 huisartsenpraktijken hoe vaak deze verschijnselen voorkomen en welke virussen deze klachten veroorzaken. Sinds enkele weken wordt bij dit onderzoek ook getest op het nieuwe coronavirus. Van enkele patiënten is de bron van de besmetting nog onbekend. De GGD doet nog onderzoek naar de mogelijke bron. Voor alle nieuwe patiënten is contactonderzoek opgestart.

"
2020-03-06 11:00:00,"06-03-2020 | 11:00

Patiënt met nieuw coronavirus overleden

Een 86-jarige man die opgenomen was in het Ikazia Ziekenhuis te Rotterdam met COVID-19 is vandaag overleden. De besmettingsbron van deze patiënt is tot nu toe onbekend. Dit is de eerste patiënt in Nederland die is overleden aan de gevolgen van een infectie met het nieuwe coronavirus.

De patiënt was uit voorzorg al in isolatie geplaatst. Hij werd dus al in isolatie verzorgd toen de uitslag van de test bekend werd.* Het ziekenhuis en de GGD Gemeentelijke Gezondheidsdienst  hebben de contacten van de patiënt (bezoekers en verzorgers) in kaart gebracht en gaan na of zij klachten hebben. Alle contacten van de patiënten die verkoudheidsklachten of koorts hebben, is gevraagd om thuis te blijven. Zo nodig worden zij getest.

*rectificatie van de volgende zin: \'Nadat bekend werd dat de patiënt COVID-19 had, is hij in isolatie verzorgd.\'

"
2020-03-06 14:00:00,"06-03-2020 | 14:00

46 nieuwe patiënten, in totaal 128 positieve testen

Sinds gisteren zijn 46 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positief geteste patiënten op 128 waarvan 1 patiënt is overleden. Hiervan zijn 101 patiënten in het buitenland besmet geraakt of zijn contacten van bevestigde patiënten. Van de nieuwe patiënten zijn 5 personen opgenomen in het ziekenhuis. De overige nieuwe patiënten zitten in thuisisolatie. 

"
2020-03-06 18:00:00,"06-03-2020 | 18:00

Nieuwe aanwijzing voor inwoners Noord-Brabant

Het RIVM Rijksinstituut voor Volksgezondheid en Milieu  adviseert inwoners van de provincie Noord-Brabant bij verkoudheid, hoesten of koorts hun sociale contacten te beperken. Dit betekent: blijf thuis.  Om de mogelijke verspreiding in deze provincie in kaart te brengen, start het RIVM morgen een steekproef naar COVID-19.

"
2020-03-07 14:20:00,"07-03-2020 | 14:20

60 nieuwe patiënten, in totaal 188 positieve testen

Sinds gisteren zijn 60 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positief geteste patiënten op 188 waarvan 1 patiënt is overleden. De meeste nieuwe patiënten werden in Noord-Brabant gemeld: 26. 

Het onderzoek* naar de verspreiding van het virus in Noord-Brabant is ondertussen gestart. Begin volgende week verwacht het RIVM hier meer over te kunnen zeggen. Tot die tijd geldt voor Noord-Brabant het advies: ben je verkouden, hoest je of heb je koorts: blijf dan thuis en beperk de sociale contacten. 

Van de 188 patiënten zijn er 112 in het buitenland geweest. Het merendeel (103) van deze patiënten is in (Noord-) Italië geweest. Hiernaast zijn 47 mensen besmet geraakt via een gediagnosticeerde patiënt. Van 29 mensen wordt nog onderzocht hoe zij besmet geraakt zijn.

Het grootste deel van de patiënten verblijft in thuisisolatie. Er zijn 24 patiënten opgenomen (geweest) in het ziekenhuis. Ook voor alle nieuwe patiënten starten de GGD’en contactonderzoek.

*(toegevoegd om 16.00 uur): Klik hier voor meer informatie over het onderzoek dat in Noord-Brabant is gestart

"
2020-03-08 14:00:00,"08-03-2020 | 14:00

Twee patiënten overleden, 77 nieuwe patiënten, in totaal 265 positief geteste patiënten 

Vandaag zijn twee patiënten met het nieuwe coronavirus overleden. Beiden hadden ernstige onderliggende medische problemen. Het gaat om een  86-jarige man die opgenomen was in het Bernhoven Ziekenhuis te Uden en een 82-jarige man uit het Zuyderland Medisch Centrum in Sittard/Geleen. Wat de besmettingsbron van deze patiënten is, is in onderzoek. 

Sinds gisteren zijn 77 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positief geteste patiënten op 265 waarvan 3 patiënten zijn overleden. Hoeveel daarvan afkomstig zijn uit Noord-Brabant volgt nog.

Van de 265 patiënten zijn er 144 in het buitenland geweest. Het merendeel (131) van deze patiënten is in (Noord-) Italië geweest. Hiernaast zijn 74 mensen besmet geraakt via een gediagnosticeerde patiënt. Van 47 mensen wordt nog onderzocht hoe zij besmet geraakt zijn.

Het grootste deel van de patiënten verblijft in thuisisolatie. Er zijn 36 patiënten opgenomen (geweest) in het ziekenhuis. Ook voor alle nieuwe patiënten starten de GGDGemeentelijke Gezondheidsdienst’en contactonderzoek.

"
2020-03-09 14:00:00,"09-03-2020 | 14:00

56 nieuwe patiënten, in totaal 321 positieve testen

Op 9 maart zijn er 56 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positieve testen op 321.

De meeste patiënten komen uit Brabant: 134. Na Brabant wonen de meeste patiënten in Utrecht: 52. Van 150 personen is bekend dat zij COVID-19 in het buitenland hebben opgelopen. De meeste patiënten waren in Italië. Hiernaast waren er patiënten in Duitsland, Frankrijk, Iran, Oostenrijk, Kaapverdië, Groot-Brittanië en Hong Kong. Van 90 patiënten wordt nog onderzoek gedaan wat de mogelijke bron kan zijn.

Onderzoek in Brabant

De uitkomsten van het onderzoek dat dit weekend onder zorgmedewerkers in Brabant werd gehouden, zijn nog niet bekend. Hier volgt binnenkort meer informatie over.

"
2020-03-09 19:45:00,"09-03-2020 | 19:45

Nieuwe maatregel: stop met handen schudden! 

Goed je handen wassen, hoesten en niezen in de binnenkant van je elleboog en papieren zakdoekjes gebruiken. Die algemene hygiënemaatregelen zijn belangrijk om verspreiding van het coronavirus tegen te gaan. Er komt nu een nieuwe maatregel bij. Sinds maandagavond 9 maart 2020 wordt ook opgeroepen om geen handen meer te schudden.

Meer informatie op Rijksoverheid.nl

"
2020-03-10 14:00:00,"10-03-2020 | 14:00

1 patiënt overleden, 61 nieuwe patiënten, in totaal 382 positief geteste personen

Sinds gisteren zijn er 61 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positieve testen op 382.

Van de 382 zijn er 161 besmet geraakt in het buitenland. Voor 156 gevallen is de bron onbekend of is onderzoek nog gaande. Ruim de helft daarvan woont in Noord-Brabant. De meeste mensen die positief zijn getest, wonen in de provincie Noord-Brabant: 157 personen. In de provincie Utrecht wonen 55 gemelde gevallen. Er is een patiënt overleden, een 78-jarige met een kwetsbare gezondheid. In totaal zijn nu 4 personen met het coronavirus overleden.

"
2020-03-10 16:00:00,"10-03-2020 | 16:00

Resultaat steekproef: 4% onderzochte ziekenhuismedewerkers heeft coronavirus

Bijna 4% van de onderzochte medewerkers in de Brabantse ziekenhuizen heeft het coronavirus. Wel zijn er regionale verschillen. Dat blijkt uit de steekproef van het RIVM van afgelopen weekend. De bevindingen uit het onderzoek ondersteunen het ingezette beleid van afgelopen vrijdag. Wel vraagt het om enkele uitbreidingen. Later vandaag licht het RIVM dit verder toe. 

"
2020-03-11 14:00:00,"11-03-2020 | 14.00

1 patiënt overleden, 121 nieuwe patiënten, In totaal 503 positief getest personen

Op dit moment zijn 121 nieuwe mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positieve testen op 503. Het aantal nieuwe positieve testen is hoger dan de afgelopen dagen. Een deel van de toename is te verklaren door het zorgonderzoek dat de afgelopen dagen in Noord-Brabant is uitgevoerd. Daarnaast is er een vijfde persoon aan de ziekte overleden. Het gaat om een persoon van 68 met onderliggend lijden.

Van de 503 gemelde gevallen wonen er 223 in de provincie Noord-Brabant en 66 in de provincie Utrecht. Daarnaast wonen er 57 in de provincie Zuid-Holland en 48 in de provincie Limburg. 199 van de 503 personen hadden een bron van besmetting in het buitenland. Bij 92 gevallen is dit nog in onderzoek. De meerderheid van de patiënten met een onbekende bron woont in Noord-Brabant.

Zorgonderzoek

Van 6-8 maart werden 1097 medewerkers in ziekenhuizen in Noord-Brabant getest. 3,9% bleek inderdaad het coronavirus te hebben. De percentages verschillen per ziekenhuis. Ook werden 200 patiënten getest. Van deze patiënten bleek gemiddeld 9% het virus te hebben. De mensen die getest zijn, hadden al klachten.

Risicogebieden aangepast

De lijst met risicogebieden is aangepast. De omgeving in het noorden van Italië is uitgebreid naar Italië. Singapore en Macau worden niet langer gezien als een risicogebied, omdat het virus daar niet meer op grote schaal verspreid wordt.

Vanaf nu geldt dus: 

Heb je

Verkoudheidsklachten of verhoging tot 38,0 graden Celsius én
	Contact gehad met een patiënt met het coronavirus, of ben je in een gebied geweest waar het coronavirus heerst: 
	China (inclusief Hong Kong)
		Italië
		Iran
		Zuid-Korea
	
Blijf thuis, ziek uit en zorg dat je anderen niet besmet. Houd dus afstand tot andere mensen. Je hoeft de huisarts niet te bellen. Je klachten zijn mild. Dit kan ook een gewone verkoudheid zijn.

Worden je klachten erger:
•    Je hebt koorts (meer dan 38 graden Celsius)
•    Je moet hoesten of je bent benauwd

Dan moet je wel bellen met de huisarts. 

Vragen over het coronavirus

Heb je vragen over het coronavirus of de ziekte die je ervan krijgt, COVID-19, kijk dan op de speciale website van Rijksoverheid, of bel met het publieksinformatienummer 0800 - 13 51. 
Vanaf morgen verwijst het RIVM ook door naar dit telefoonnummer. Zij beantwoorden vragen, ook op basis van RIVM-informatie. 

"
2020-03-12 14:00:00,"12-03-2020 | 14.00

111 nieuwe patiënten, in totaal 614 positief geteste personen

Per vandaag zijn 111 nieuwe mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 614. 

In totaal zijn 86 patiënten opgenomen (geweest) in een ziekenhuis, dat zijn er 24 meer dan gisteren. Er is een nieuwe patiënt in de provincie Utrecht gevonden middels de NivelNederlands instituut voor onderzoek van de gezondheidszorg peilstations. Dat brengt het totaal op 2 patiënten via de Nivel peilstations.

Van de 614 gemelde patiënten wonen er 273 in de provincie Noord-Brabant en 80 in de provincie Utrecht. Daarnaast wonen er 68 in Zuid-Holland, 53 in Limburg en 48 in Gelderland. 239 van de 614 personen hadden een bron van besmetting in het buitenland. Landen die een besmettingsbron vormden, zijn vooral Italië  (193), Oostenrijk (26) en Duitsland (7). Nieuwe landen waar de besmetting hoogstwaarschijnlijk is opgelopen zijn België, Mauritius, Spanje en Zuid-Korea. Voor 123 gevallen is de bron onbekend, dat zijn er 33 meer dan gisteren. Bij 141 gevallen is dit nog in onderzoek. De meerderheid van de patiënten met een onbekende bron woont in Noord-Brabant.

102 van de gemelde patiënten werken in de zorg.

"
2020-03-12 15:45:00,"12-03-2020 | 15:45

Uitbreiding maatregelen coronavirus

In heel Nederland zijn extra maatregelen nodig om verspreiding van COVID-19 tegen te gaan. De maatregelen die in Noord-Brabant zijn genomen, gelden nu voor heel Nederland. Dat adviseert het RIVMRijksinstituut voor Volksgezondheid en Milieu Rijksinstituut voor Volksgezondheid en Milieu  aan de Rijksoverheid. Lees meer.

"
2020-03-13 14:00:00,"13-03-2020 | 14.00

5 patiënten overleden, 190 nieuwe patiënten, in totaal 804 positief geteste personen

Per vandaag zijn 190 nieuwe mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 804. Van de bevestigde personen werken er 179 in de zorg; zij worden vaker dan andere groepen getest.

Er zijn sinds gisteren 5 nieuwe patiënten overleden aan COVID-19. Dit betrof allen oudere patiënten met onderliggend lijden. In totaal zijn er nu 10 mensen gestorven aan de ziekte.

In totaal zijn 115 patiënten opgenomen (geweest) in een ziekenhuis.

Wijdverspreide transmissie

De gebieden met wijdverspreide transmissie zijn aangepast en zijn nu: 

Italië
	Oostenrijk
	Noordrijn Westfalen (Duitsland)
	Madrid (Spanje)
	China (inclusief Hong Kong)
	Zuid Korea
	Iran
"
2020-03-14 14:42:00,"14-03-2020 | 14.42

2 patiënten overleden, 155 nieuwe patiënten, in totaal 959 positief geteste personen

Sinds gisteren zijn 155 nieuwe mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 959. 

Sinds gisteren 2 patiënten overleden aan COVID-19. Dit betrof oudere patiënten met onderliggend lijden. In totaal zijn er nu 12 mensen gestorven aan de ziekte. In totaal zijn 136 patiënten opgenomen (geweest) in een ziekenhuis.

Vandaag zijn minder nieuwe positieve testen gemeld dan gisteren. Een verklaring is dat het testbeleid is aangepast. Vanaf 12 maart worden mensen met milde klachten niet meer getest omdat er een landelijke maatregel is om thuis te blijven bij de eerste klachten. Daarnaast wordt er meer getest onder risicogroepen. Ook heeft de overheid op 12 maart mensen opgeroepen om sociale contacten te verminderen. Het is nog te vroeg om het effect van deze maatregel te zien.

"
2020-03-15 14:00:00,"15-03-2020 | 14.00

8 patiënten overleden, 176 nieuwe patiënten, in totaal 1135 positief geteste personen

Sinds gisteren zijn 176 nieuwe mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 1135. 

Sinds gisteren zijn  8 patiënten overleden aan COVID-19 in de leeftijd van 59 tot 94 jaar. De meesten zijn ouder dan 70 jaar en hadden onderliggend lijden. In totaal zijn er nu  20 mensen gestorven aan de ziekte. In totaal zijn  162 patiënten opgenomen (geweest) in een ziekenhuis.

"
2020-03-15 17:35:00,"15-03-2020 | 17.35

Aanvullende maatregelen onderwijs, horeca, sport

Zondag 15 maart heeft het kabinet aanvullende maatregelen genomen in de aanpak van het coronavirus. Scholen en kinderdagverblijven sluiten tot en met maandag 6 april. Datzelfde geldt voor eet- en drinkgelegenheden en sport- en fitnessclubs.

"
2020-03-16 14:00:00,"16-03-2020 | 14.00

4 patiënten overleden, 278 nieuwe patiënten, in totaal 1413 positief geteste personen

Sinds de laatste update zijn 278 mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal aantal positief geteste mensen op 1413.

Sinds gisteren zijn 4 patiënten overleden aan COVID-19. In totaal zijn er nu 24 mensen gestorven aan de ziekte. De gemiddelde leeftijd van de overledenen is 79 jaar (jongste 59- oudste 94). In totaal zijn 205 patiënten opgenomen (geweest) in een ziekenhuis.

In de provincie Noord Brabant zijn 108 nieuwe positief geteste personen. In totaal zijn in 554 positief geteste personen in Noord Brabant. Daarna zijn in de provincie Limburg (149), de provincie Utrecht (140) en Zuid Holland (136) de meeste positief geteste personen gemeld.

"
2020-03-17 14:00:00,"17-03-2020 | 14.00

19 patiënten overleden, 292 nieuwe patiënten, in totaal 1705 positief geteste personen

Sinds gisteren zijn 292 mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 1705. Onder hen zijn 389 mensen die in de zorg werken; zij worden vaker dan andere groepen getest. 

19 patiënten zijn sinds de vorige update overleden aan COVID-19. In totaal zijn er nu 43 mensen gestorven aan de ziekte. De leeftijd van de overledenen ligt tussen 63 en 94 jaar. Eerder meldden we dat de jongste overledene 59 was, dit kwam door een administratieve fout. In totaal zijn 314 patiënten opgenomen (geweest) in een ziekenhuis.

De meeste positief geteste mensen wonen in de provincie Noord Brabant, namelijk 634 personen. Daarna zijn de meeste positief geteste mensen gemeld in Limburg (197) en Zuid Holland (175). 

Nieuwe kaart

Vanaf vandaag wordt de verspreiding van het aantal positief geteste mensen in Nederland weergegeven met een incidentiekaart. De gekleurde vlakken geven niet het totale aantal positief geteste mensen weer, maar het aantal per 100.000 inwoners.  

"
2020-03-18 14:00:00,"18-03-2020 | 14.00

15 patiënten overleden, 346 nieuwe patiënten, in totaal 2051 positief geteste personen

Sinds gisteren zijn 346 mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal aantal positief geteste mensen op 2051. Onder hen zijn 485 mensen die in de zorg werken; zij worden vaker dan andere groepen getest.15 patiënten zijn sinds de vorige update overleden aan COVID-19. In totaal zijn er nu 58 mensen overleden aan de ziekte. De leeftijd van de overledenen ligt tussen 63 en 95 jaar. In totaal zijn 408 patiënten opgenomen (geweest) in een ziekenhuis.De meeste positief geteste mensen wonen in de provincie Noord Brabant, namelijk 759 personen. Daarna zijn de meeste positief geteste mensen gemeld in Limburg (265) en Zuid Holland (241). 

Nieuwe kaart

Sinds gisteren wordt de verspreiding van het aantal positief geteste mensen in Nederland weergegeven met een incidentiekaart. De gekleurde vlakken geven niet het totale aantal positief geteste mensen weer, maar het aantal per 100.000 inwoners, sinds de eerste patiënt in Nederland. De kleurverdeling van de kaart is vandaag anders dan gisteren. Dit komt doordat de legenda is aangepast. 

"
2020-03-19 14:25:00,"19-03-2020 | 14.25

18 patiënten overleden, 409 nieuwe patiënten, in totaal 2460 positief geteste personen

Sinds gisteren zijn 409 mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal positief geteste mensen op 2460. Onder hen zijn 594 mensen die in de zorg werken; zij worden vaker dan andere groepen getest. 
18 patiënten zijn sinds de vorige update overleden aan COVID-19. In totaal zijn er nu 76 mensen overleden aan de ziekte. De leeftijd van de overledenen ligt tussen 63 en 95 jaar. In totaal zijn 489 patiënten opgenomen (geweest) in een ziekenhuis.
De meeste positief geteste mensen wonen in de provincie Noord Brabant, namelijk 870 personen. Daarna zijn de meeste positief geteste mensen gemeld in Zuid Holland (312). Limburg (301). 
Door de NIVELNederlands instituut voor onderzoek van de gezondheidszorg-peilstations zijn afgelopen week 2 infecties gerapporteerd, waarmee dit totaal 10 wordt. 

"
2020-03-20 14:00:00,"20-03-2020 | 14.00

30 patiënten overleden, 534 nieuwe patiënten, in totaal 2994 positief geteste personen

Sinds gisteren zijn 534 mensen positief getest op COVID-19, de ziekte die veroorzaakt wordt door het nieuwe coronavirus. Daarmee komt het totaal aantal positief geteste mensen op 2994. Onder hen zijn 725 mensen die in de zorg werken; zij worden vaker dan andere groepen getest. 

30 patiënten zijn sinds de vorige update overleden aan COVID-19. In totaal zijn er nu 106 mensen overleden aan de ziekte. De leeftijd van de overledenen ligt tussen 63 en 95 jaar. In totaal zijn 643 patiënten opgenomen (geweest) in een ziekenhuis.

De meeste positief geteste mensen wonen in de provincie Noord Brabant, namelijk 1012 personen. Daarna zijn de meeste positief geteste mensen gemeld in Zuid-Holland (405), Limburg (366) en Noord-Holland (353). 

Het werkelijke aantal besmettingen met COVID-19 ligt hoger dan het aantal meldingen in deze update, omdat niet meer iedereen met mogelijke besmetting getest wordt.

"
2020-03-21 14:00:00,"21-03-2020 | 14.00

30 patiënten overleden, 637 nieuwe patiënten, in totaal 3631 positief geteste personen

Sinds gisteren zijn 637 mensen positief getest op het nieuwe coronavirus (COVID-19). Daarmee komt het totaal aantal positief geteste mensen op 3631. Onder hen zijn 836 mensen die in het ziekenhuis opgenomen zijn (geweest). 

30 patiënten zijn sinds de vorige update overleden aan COVID-19. Er zijn in totaal 136 mensen overleden aan de ziekte. De meeste overleden mensen zijn tussen de 80 en 84 jaar oud. De jongst overleden persoon is 63 jaar.

De meeste positief geteste mensen wonen in de provincie Noord Brabant, namelijk 1180 personen. Daarna zijn de meeste positief geteste mensen gemeld in Zuid-Holland (486), Noord-Holland (461) en Limburg (418).

Het aantal besmettingen met het nieuwe coronavirus ligt hoger dan het aantal dat hier genoemd wordt. Dit komt omdat niet iedereen met mogelijke besmetting getest wordt, maar vooral patiënten die zo ziek zijn dat ze in het ziekenhuis opgenomen worden en zorgverleners.

"
